type,title,url,parent_url,local_path,status,size_bytes,seconds,error
library,Main Library,https://www.vfxapprentice.com/library,,index.html,REPLACED,1499017,16.518,
product,VFX Apprentice Asset Library,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,https://www.vfxapprentice.com/library,VFX Apprentice Asset Library/index.html,REPLACED,1251426,18.697,
product,Hand-Crafted 3D VFX: Level 1,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 1/index.html,REPLACED,945,8.323,
product,Hand-Crafted 3D VFX: Level 2,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 2/index.html,REPLACED,945,12.306,
product,Apprenticeship Level 3,https://www.vfxapprentice.com/products/apprenticeship-level-3,https://www.vfxapprentice.com/library,Apprenticeship Level 3/index.html,REPLACED,921,11.768,
category,VFX by Mario Belén,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Mario Belén/index.html,REPLACED,291805,8.662,
category,VFX by Daryna-Vladyslava Masiahina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Daryna-Vladyslava Masiahina/index.html,REPLACED,1138,8.888,
category,VFX by Gustavo Dresch Rosa,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Gustavo Dresch Rosa/index.html,REPLACED,1106,8.733,
category,VFX by Clovis Lebret,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Clovis Lebret/index.html,REPLACED,1082,8.263,
category,VFX by Can Bayar,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Can Bayar/index.html,REPLACED,1066,8.398,
category,VFX by Renate Noel-Tagoe (Insert Cat),https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/index.html,REPLACED,512903,9.430,
category,VFX by Harmonie Duquesne,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Harmonie Duquesne/index.html,REPLACED,1098,8.201,
category,VFX by Katie Stine,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Katie Stine/index.html,REPLACED,1074,9.149,
category,VFX by Jakub Tkáč,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Jakub Tkáč/index.html,REPLACED,1078,8.211,
category,VFX by Bruno Ferreira Belício,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Bruno Ferreira Belício/index.html,REPLACED,1122,8.493,
category,VFX by Martin Blasina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Martin Blasina/index.html,REPLACED,481752,8.414,
