type,title,url,local_path,status,size_bytes
library,Main Library,https://www.vfxapprentice.com/library,,DISCOVERED,
product,Beginner Bootcamp,https://www.vfxapprentice.com/products/beginner-bootcamp,,DISCOVERED,
product,VFX Apprentice Asset Library,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,,DISCOVERED,
product,VFXA Free Training,https://www.vfxapprentice.com/products/vfxa-free-training,,DISCOVERED,
product,Hand-Drawn 2D FX: Level 1,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,,DISCOVERED,
product,Hand-Drawn 2D FX: Level 2,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,,DISCOVERED,
product,Hand-Crafted 3D VFX: Level 1,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,,DISCOVERED,
product,Hand-Crafted 3D VFX: Level 2,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,,DISCOVERED,
product,Apprenticeship Level 3,https://www.vfxapprentice.com/products/apprenticeship-level-3,,DISCOVERED,
category,Week 0,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737554,,DISCOVERED,
category,Week 1 - Intro to 2D FX,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737555,,DISCOVERED,
category,Week 2 - FX Foundations,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737556,,DISCOVERED,
category,Week 3 - FX Artistry,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737562,,DISCOVERED,
category,Week 4 - Advanced 2D Techniques,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737563,,DISCOVERED,
category,Week 5 - Intro to 3D VFX,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737580,,DISCOVERED,
category,Week 6 - Textures & Meshes,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737584,,DISCOVERED,
category,Week 7 - Shaders & Materials,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737590,,DISCOVERED,
category,Week 8 - Particle Systems,https://www.vfxapprentice.com/products/beginner-bootcamp/categories/2157737594,,DISCOVERED,
category,VFX by Mario Belén,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012,,DISCOVERED,
category,VFX by Daryna-Vladyslava Masiahina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593,,DISCOVERED,
category,VFX by Gustavo Dresch Rosa,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178,,DISCOVERED,
category,VFX by Clovis Lebret,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504,,DISCOVERED,
category,VFX by Can Bayar,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336,,DISCOVERED,
category,VFX by Renate Noel-Tagoe (Insert Cat),https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997,,DISCOVERED,
category,VFX by Harmonie Duquesne,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168,,DISCOVERED,
category,VFX by Katie Stine,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723,,DISCOVERED,
category,VFX by Jakub Tkáč,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664,,DISCOVERED,
category,VFX by Bruno Ferreira Belício,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663,,DISCOVERED,
category,VFX by Martin Blasina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446,,DISCOVERED,
category,VFX by Orçun Sarı,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925,,DISCOVERED,
category,VFX by De Andre Martin,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725,,DISCOVERED,
