type,title,url,parent_url,local_path,status
library,Main Library,https://www.vfxapprentice.com/library,,index.html,DISCOVERED
product,VFX Apprentice Asset Library,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,https://www.vfxapprentice.com/library,VFX Apprentice Asset Library/index.html,DISCOVERED
product,Hand-Drawn 2D FX: Level 1,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,https://www.vfxapprentice.com/library,Hand-Drawn 2D FX_ Level 1/index.html,DISCOVERED
product,Hand-Drawn 2D FX: Level 2,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,https://www.vfxapprentice.com/library,Hand-Drawn 2D FX_ Level 2/index.html,DISCOVERED
product,Hand-Crafted 3D VFX: Level 1,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 1/index.html,DISCOVERED
product,Hand-Crafted 3D VFX: Level 2,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 2/index.html,DISCOVERED
product,Apprenticeship Level 3,https://www.vfxapprentice.com/products/apprenticeship-level-3,https://www.vfxapprentice.com/library,Apprenticeship Level 3/index.html,DISCOVERED
category,VFX by Mario Belén,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Mario Belén/index.html,DISCOVERED
category,VFX by Daryna-Vladyslava Masiahina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Daryna-Vladyslava Masiahina/index.html,DISCOVERED
category,VFX by Gustavo Dresch Rosa,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Gustavo Dresch Rosa/index.html,DISCOVERED
category,VFX by Clovis Lebret,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Clovis Lebret/index.html,DISCOVERED
category,VFX by Can Bayar,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Can Bayar/index.html,DISCOVERED
category,VFX by Renate Noel-Tagoe (Insert Cat),https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/index.html,DISCOVERED
category,VFX by Harmonie Duquesne,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Harmonie Duquesne/index.html,DISCOVERED
category,VFX by Katie Stine,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Katie Stine/index.html,DISCOVERED
category,VFX by Jakub Tkáč,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Jakub Tkáč/index.html,DISCOVERED
category,VFX by Bruno Ferreira Belício,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Bruno Ferreira Belício/index.html,DISCOVERED
category,VFX by Martin Blasina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Martin Blasina/index.html,DISCOVERED
category,VFX by Orçun Sarı,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Orçun Sarı/index.html,DISCOVERED
category,VFX by De Andre Martin,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by De Andre Martin/index.html,DISCOVERED
category,FX Design Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/index.html,DISCOVERED
category,FX Timing Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/index.html,DISCOVERED
category,Animation & Design - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659695,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Animation & Design - Track Overview/index.html,DISCOVERED
category,Drawing Foundations - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/index.html,DISCOVERED
category,2D Software Introduction - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487511,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/index.html,DISCOVERED
category,2D FX Basics - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487517,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/index.html,DISCOVERED
category,Applied Foundations - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627211,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/index.html,DISCOVERED
category,Elemental Foundations - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627224,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Elemental Foundations - Explained/index.html,DISCOVERED
category,What To Learn Next? - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659706,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/What To Learn Next_ - Track Overview/index.html,DISCOVERED
category,Intro to FX Concept Painting - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627457,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Intro to FX Concept Painting - Design/index.html,DISCOVERED
category,FX Concept Painting Elemental Studies - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627636,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Concept Painting Elemental Studies - Design/index.html,DISCOVERED
category,Small 2D FX Animation Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627235,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Small 2D FX Animation Studies - Animation/index.html,DISCOVERED
category,Medium 2D FX Animation Elemental Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627657,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Medium 2D FX Animation Elemental Studies - Animation/index.html,DISCOVERED
category,Level 1 ✅,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627694,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Level 1 ✅/index.html,DISCOVERED
category,Paintover Series - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150659854,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/Paintover Series - Explained/index.html,DISCOVERED
category,Animation & Post-Process - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150659817,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/Animation & Post-Process - Track Overview/index.html,DISCOVERED
