type,title,url,parent_url,local_path,status,size_bytes,seconds,error
product,VFX Apprentice Asset Library,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,https://www.vfxapprentice.com/library,VFX Apprentice Asset Library/index.html,REPLACED,1251426,11.734,
product,Hand-Drawn 2D FX: Level 2,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,https://www.vfxapprentice.com/library,Hand-Drawn 2D FX_ Level 2/index.html,DOWNLOADED,1091004,13.990,
library,Main Library,https://www.vfxapprentice.com/library,,index.html,REPLACED,1499017,14.422,
product,Hand-Drawn 2D FX: Level 1,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,https://www.vfxapprentice.com/library,Hand-Drawn 2D FX_ Level 1/index.html,DOWNLOADED,1614037,16.687,
product,Hand-Crafted 3D VFX: Level 1,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 1/index.html,DOWNLOADED,1909012,8.125,
product,Apprenticeship Level 3,https://www.vfxapprentice.com/products/apprenticeship-level-3,https://www.vfxapprentice.com/library,Apprenticeship Level 3/index.html,DOWNLOADED,1037713,7.030,
product,Hand-Crafted 3D VFX: Level 2,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2,https://www.vfxapprentice.com/library,Hand-Crafted 3D VFX_ Level 2/index.html,DOWNLOADED,1062439,10.563,
category,VFX by Mario Belén,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160299012,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Mario Belén/index.html,REPLACED,291805,10.525,
category,VFX by Daryna-Vladyslava Masiahina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159219593,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Daryna-Vladyslava Masiahina/index.html,DOWNLOADED,466692,9.627,
category,VFX by Gustavo Dresch Rosa,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160308178,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Gustavo Dresch Rosa/index.html,DOWNLOADED,292056,9.039,
category,VFX by Clovis Lebret,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159932504,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Clovis Lebret/index.html,DOWNLOADED,395671,9.478,
category,VFX by Can Bayar,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2160214336,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Can Bayar/index.html,DOWNLOADED,291469,8.299,
category,VFX by Renate Noel-Tagoe (Insert Cat),https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159212997,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/index.html,DOWNLOADED,512903,8.925,
category,VFX by Harmonie Duquesne,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158772168,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Harmonie Duquesne/index.html,DOWNLOADED,503934,8.783,
category,VFX by Katie Stine,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892723,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Katie Stine/index.html,DOWNLOADED,516144,9.015,
category,VFX by Jakub Tkáč,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389664,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Jakub Tkáč/index.html,DOWNLOADED,487349,8.626,
category,VFX by Bruno Ferreira Belício,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Bruno Ferreira Belício/index.html,DOWNLOADED,482257,8.997,
category,VFX by Martin Blasina,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Martin Blasina/index.html,DOWNLOADED,481752,9.485,
category,VFX by Orçun Sarı,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by Orçun Sarı/index.html,DOWNLOADED,499443,9.097,
category,VFX by De Andre Martin,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library,VFX Apprentice Asset Library/VFX by De Andre Martin/index.html,DOWNLOADED,514055,9.385,
category,FX Design Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/index.html,DOWNLOADED,866236,6.656,
category,Animation & Design - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659695,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Animation & Design - Track Overview/index.html,FAILED_OUTPUT_MISSING,0,3.216,
category,FX Timing Principles - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/index.html,DOWNLOADED,1008565,6.655,
category,Drawing Foundations - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627189,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Drawing Foundations - Design/index.html,DOWNLOADED,1244825,6.619,
category,2D Software Introduction - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487511,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/index.html,DOWNLOADED,711800,6.689,
category,2D FX Basics - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2153487517,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/index.html,DOWNLOADED,584371,6.650,
category,Applied Foundations - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627211,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Applied Foundations - Animation/index.html,DOWNLOADED,857368,9.722,
category,Elemental Foundations - Explained,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627224,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Elemental Foundations - Explained/index.html,DOWNLOADED,1014304,7.005,
category,What To Learn Next? - Track Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659706,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/What To Learn Next_ - Track Overview/index.html,DOWNLOADED,643418,7.548,
category,Intro to FX Concept Painting - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627457,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Intro to FX Concept Painting - Design/index.html,DOWNLOADED,690518,7.295,
category,FX Concept Painting Elemental Studies - Design,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627636,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/FX Concept Painting Elemental Studies - Design/index.html,DOWNLOADED,1004733,7.570,
category,Medium 2D FX Animation Elemental Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627657,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Medium 2D FX Animation Elemental Studies - Animation/index.html,DOWNLOADED,937830,7.451,
category,Small 2D FX Animation Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627235,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Small 2D FX Animation Studies - Animation/index.html,DOWNLOADED,990763,9.245,
category,Level 1 ✅,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627694,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1,Hand-Drawn 2D FX_ Level 1/Level 1 ✅/index.html,DOWNLOADED,639586,7.816,
