type,lesson,url,name,local_path,status,size_bytes
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2163830618/vfxa_clovis_lebret,VFXA_Clovis_Lebret,VFX Apprentice Asset Library/VFX by Clovis Lebret/VFXA_Clovis_Lebret.zip,ALREADY_EXISTS_ZIP,431090615
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2164229359/vfxa_can_bayar-sandbox,VFXA_Can_Bayar-Sandbox,VFX Apprentice Asset Library/VFX by Can Bayar/VFXA_Can_Bayar-Sandbox.zip,ALREADY_EXISTS_ZIP,750322608
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2162912952/vfxa_daryna_sandbox-zip,VFXA_Daryna_Sandbox.zip,VFX Apprentice Asset Library/VFX by Daryna-Vladyslava Masiahina/VFXA_Daryna_Sandbox.zip,ALREADY_EXISTS_ZIP,381884120
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2164356950/vfxa_sandbox_gustavo,VFXA_Sandbox_Gustavo,VFX Apprentice Asset Library/VFX by Gustavo Dresch Rosa/VFXA_Sandbox_Gustavo.zip,ALREADY_EXISTS_ZIP,372608704
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2164348099/vfxa_sandbox_unity_mario,VFXA_Sandbox_Unity_Mario,VFX Apprentice Asset Library/VFX by Mario Belén/VFXA_Sandbox_Unity_Mario.zip,ALREADY_EXISTS_ZIP,346267602
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2164347814/vfxa_mario_bel_n_unreal,VFXA_Mario_Belen_Unreal,VFX Apprentice Asset Library/VFX by Mario Belén/VFXA_Mario_Bel_n_Unreal.zip,ALREADY_EXISTS_ZIP,934251909
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2162904133/vfxa_renate-zip,VFXA_Renate.zip,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/VFXA_Renate.zip,ALREADY_EXISTS_ZIP,156652043
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2162904020/vfxa_renate_sandbox-zip,VFXA_Renate_Sandbox.zip,VFX Apprentice Asset Library/VFX by Renate Noel-Tagoe (Insert Cat)/VFXA_Renate_Sandbox.zip,ALREADY_EXISTS_ZIP,488226816
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2162500809/vfx-a_harmonie_duquesne-zip,VFX-A_Harmonie_Duquesne.zip,VFX Apprentice Asset Library/VFX by Harmonie Duquesne/VFX-A_Harmonie_Duquesne.zip,ALREADY_EXISTS_ZIP,373174016
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2163153488/vfxa_jakub_tkac-zip,VFXA_Jakub_Tkac.zip,VFX Apprentice Asset Library/VFX by Jakub Tkáč/VFXA_Jakub_Tkac.zip,ALREADY_EXISTS_ZIP,354582856
